id_pdc_itinerance,etat_pdc,occupation_pdc,horodatage,etat_prise_type_2,etat_prise_type_combo_ccs,etat_prise_type_chademo,etat_prise_type_ef
FRALLEGO0001071,en_service,libre,2025-04-01T20:05:32Z,,,,
FRALLEGO0001361,en_service,libre,2025-04-01T20:16:04Z,,,,
FRALLEGO0001941,en_service,libre,2025-04-01T20:21:29Z,,,,
FRALLEGO0001942,en_service,libre,2025-04-01T20:21:29Z,,,,
FRALLEGO0020202,en_service,libre,2025-06-05T19:05:24Z,,,,
FRALLEGO0020212,en_service,libre,2025-06-05T19:05:24Z,,,,
FRALLEGO0020201,en_service,libre,2025-06-06T11:18:50Z,,,,
FRALLEGO0020211,en_service,libre,2025-06-05T19:05:24Z,,,,
FRALLEGO8001761,en_service,occupe,2025-06-06T16:52:34Z,,,,
FRALLEGO8001772,en_service,libre,2025-06-05T19:05:24Z,,,,
FRALLEGO8001771,en_service,libre,2025-06-06T13:46:26Z,,,,
FRALLEGO8001751,en_service,libre,2025-06-06T13:21:08Z,,,,
FRALLEGO8001752,en_service,libre,2025-06-06T16:58:37Z,,,,
FRALLEGO8001762,en_service,libre,2025-06-06T13:52:59Z,,,,
FRALLEGO8000552,en_service,libre,2025-06-06T15:25:33Z,,,,
FRALLEGO8000551,en_service,libre,2025-06-06T11:19:20Z,,,,
FRALLEGO8000561,en_service,libre,2025-06-06T16:50:13Z,,,,
FRALLEGO8000562,en_service,libre,2025-06-05T19:05:27Z,,,,
FRALLEGO8000572,en_service,libre,2025-06-05T19:05:27Z,,,,
FRALLEGO8000571,en_service,libre,2025-06-06T14:19:17Z,,,,
FRALLEGO8001731,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO8001682,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO8001681,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO0020232,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO8000541,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO8001742,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO8000591,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO8001741,hors_service,inconnu,2025-06-05T19:05:58Z,,,,
FRALLEGO8001732,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO0020231,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO8000542,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO8000592,en_service,libre,2025-06-05T19:05:58Z,,,,
FRALLEGO0021112,en_service,libre,2025-06-06T16:55:50Z,,,,
FRALLEGO0021111,en_service,libre,2025-06-06T16:36:45Z,,,,
FRALLEGO0021122,en_service,occupe,2025-06-06T09:02:08Z,,,,
FRALLEGO0021121,en_service,occupe,2025-06-06T16:29:56Z,,,,
FRALLEGO0021281,en_service,libre,2025-06-06T14:45:29Z,,,,
FRALLEGO0021282,en_service,libre,2025-06-06T16:05:35Z,,,,
FRALLEGO0000061,en_service,libre,2025-04-01T20:36:06Z,,,,
FRALLEGO0000051,en_service,libre,2025-04-01T20:36:06Z,,,,
FRALLEGO0000021,inconnu,inconnu,2025-04-01T20:36:06Z,,,,
FRALLEGO0020332,en_service,libre,2025-06-05T19:05:04Z,,,,
FRALLEGO0020331,en_service,libre,2025-06-05T19:05:04Z,,,,
FRALLEGO0020821,en_service,libre,2025-06-05T19:05:04Z,,,,
FRALLEGO0020822,en_service,libre,2025-06-05T19:05:04Z,,,,
FRALLEGO0021031,en_service,libre,2025-06-06T15:41:43Z,,,,
FRALLEGO0021032,en_service,libre,2025-06-06T16:15:38Z,,,,
FRALLEGO0021041,en_service,libre,2025-06-06T15:52:08Z,,,,
