,contact_amenageur,contact_operateur,nom_amenageur,nom_operateur,telephone_operateur,siren_amenageur,raccordement,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,tarification,paiement_autre,paiement_acte,paiement_cb,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,date_mise_en_service,observations,date_maj,cable_t2_attache,num_pdl,latitude,longitude,nom_commune,ville_guess,ville_match,code_postal,ville,ville_normalisee,adresse_upper
403,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Gonfreville L'O - Le Havre,FRSHEE405,FRSHEE405,Shell Gonfreville L'O - Le Havre,Station dédiée à la recharge rapide,"9 route d'Oudalle, 76700 Gonfreville l'Orcher",00nan,"[0.21080800,49.50314500]",4,FRSHEE4051,FRSHEE4051,150,False,False,True,False,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2024-05-21,,2025-06-05,False,,49.503145,0.210808,,76700 GONFREVILLE L'ORCHER,False,76700,GONFREVILLE LE ORCHER,,"9 ROUTE D'OUDALLE, 76700 GONFREVILLE L'ORCHER"
404,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Gonfreville L'O - Le Havre,FRSHEE405,FRSHEE405,Shell Gonfreville L'O - Le Havre,Station dédiée à la recharge rapide,"9 route d'Oudalle, 76700 Gonfreville l'Orcher",00nan,"[0.21080800,49.50314500]",4,FRSHEE4052,FRSHEE4052,125,False,False,False,True,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2024-05-21,,2025-06-05,False,,49.503145,0.210808,,76700 GONFREVILLE L'ORCHER,False,76700,GONFREVILLE LE ORCHER,,"9 ROUTE D'OUDALLE, 76700 GONFREVILLE L'ORCHER"
405,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Gonfreville L'O - Le Havre,FRSHEE405,FRSHEE405,Shell Gonfreville L'O - Le Havre,Station dédiée à la recharge rapide,"9 route d'Oudalle, 76700 Gonfreville l'Orcher",00nan,"[0.21080800,49.50314500]",4,FRSHEE4053,FRSHEE4053,150,False,False,True,False,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2024-05-21,,2025-06-05,False,,49.503145,0.210808,,76700 GONFREVILLE L'ORCHER,False,76700,GONFREVILLE LE ORCHER,,"9 ROUTE D'OUDALLE, 76700 GONFREVILLE L'ORCHER"
406,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Gonfreville L'O - Le Havre,FRSHEE405,FRSHEE405,Shell Gonfreville L'O - Le Havre,Voirie,"9 route d'Oudalle, 76700 Gonfreville l'Orcher",00nan,"[0.21080800,49.50314500]",4,FRSHEE4054,FRSHEE4054,22,False,True,False,False,False,False,,,True,True,Accès réservé,True,24/7,Accessibilité inconnue,inconnu,False,2024-05-21,,2025-06-05,False,,49.503145,0.210808,,76700 GONFREVILLE L'ORCHER,False,76700,GONFREVILLE LE ORCHER,,"9 ROUTE D'OUDALLE, 76700 GONFREVILLE L'ORCHER"
407,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Criquetôt - Le Havre,FRSHEE182,FRSHEE182,Shell Criquetôt - Le Havre,Station dédiée à la recharge rapide,"Rue de la Victoire 1914-1918, 76280 Criquetot l’Esneval",00nan,"[0.26538000,49.64421600]",7,FRSHEE1821,FRSHEE1821,150,False,False,True,False,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2023-08-24,,2025-06-05,False,,49.644216,0.26538,,,False,,,,"RUE DE LA VICTOIRE 1914-1918, 76280 CRIQUETOT L’ESNEVAL"
408,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Criquetôt - Le Havre,FRSHEE182,FRSHEE182,Shell Criquetôt - Le Havre,Station dédiée à la recharge rapide,"Rue de la Victoire 1914-1918, 76280 Criquetot l’Esneval",00nan,"[0.26538000,49.64421600]",7,FRSHEE1822,FRSHEE1822,125,False,False,False,True,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2023-08-24,,2025-06-05,False,,49.644216,0.26538,,,False,,,,"RUE DE LA VICTOIRE 1914-1918, 76280 CRIQUETOT L’ESNEVAL"
409,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Criquetôt - Le Havre,FRSHEE182,FRSHEE182,Shell Criquetôt - Le Havre,Station dédiée à la recharge rapide,"Rue de la Victoire 1914-1918, 76280 Criquetot l’Esneval",00nan,"[0.26538000,49.64421600]",7,FRSHEE1823,FRSHEE1823,150,False,False,True,False,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2023-08-24,,2025-06-05,False,,49.644216,0.26538,,,False,,,,"RUE DE LA VICTOIRE 1914-1918, 76280 CRIQUETOT L’ESNEVAL"
410,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Criquetôt - Le Havre,FRSHEE183,FRSHEE183,Shell Criquetôt - Le Havre,Station dédiée à la recharge rapide,"Rue de la Victoire 1914-1918, 76280 Criquetot l’Esneval",00nan,"[0.26538000,49.64421600]",7,FRSHEE1831,FRSHEE1831,150,False,False,True,False,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2023-08-24,,2025-06-05,False,,49.644216,0.26538,,,False,,,,"RUE DE LA VICTOIRE 1914-1918, 76280 CRIQUETOT L’ESNEVAL"
411,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Criquetôt - Le Havre,FRSHEE183,FRSHEE183,Shell Criquetôt - Le Havre,Station dédiée à la recharge rapide,"Rue de la Victoire 1914-1918, 76280 Criquetot l’Esneval",00nan,"[0.26538000,49.64421600]",7,FRSHEE1832,FRSHEE1832,125,False,False,False,True,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2023-08-24,,2025-06-05,False,,49.644216,0.26538,,,False,,,,"RUE DE LA VICTOIRE 1914-1918, 76280 CRIQUETOT L’ESNEVAL"
412,customerservice@shellrecharge.com,customerservice@shellrecharge.com,Shell Recharge,Shell Recharge,+(33)-(9)-77554349,,,Shell Criquetôt - Le Havre,FRSHEE183,FRSHEE183,Shell Criquetôt - Le Havre,Station dédiée à la recharge rapide,"Rue de la Victoire 1914-1918, 76280 Criquetot l’Esneval",00nan,"[0.26538000,49.64421600]",7,FRSHEE1833,FRSHEE1833,150,False,False,True,False,False,False,,,True,True,Accès réservé,False,24/7,Accessibilité inconnue,inconnu,False,2023-08-24,,2025-06-05,False,,49.644216,0.26538,,,False,,,,"RUE DE LA VICTOIRE 1914-1918, 76280 CRIQUETOT L’ESNEVAL"
